ts_unix_ms,link_id,channel_id,osnr_db,ber,laser_bias_ma,edfa_pump_ma,rx_power_dbm,label
1710000014000,S1,C1,18.481,1.34757e-05,39.8175,180.291,-12.0616,nominal
1710000014000,S2,C1,18.4547,1.4254e-05,40.0904,179.915,-12.0467,edfa_aging
1710000014000,S3,C1,18.5352,1.19966e-05,40.0597,180.211,-12.0565,nominal
1710000015000,S1,C1,18.5232,1.23127e-05,39.9936,180.195,-12.0038,nominal
1710000015000,S2,C1,18.5888,1.06794e-05,40.0325,180.436,-11.9824,edfa_aging
1710000015000,S3,C1,18.4753,1.36417e-05,39.706,179.842,-12.0514,nominal
1710000016000,S1,C1,18.5412,1.18419e-05,40.0528,180.482,-12.035,nominal
1710000016000,S2,C1,18.5443,1.17623e-05,39.9129,180.261,-11.9062,edfa_aging
1710000016000,S3,C1,18.4816,1.34594e-05,39.9753,180.015,-12.1418,nominal
1710000017000,S1,C1,18.4899,1.3224e-05,40.0717,179.566,-12.0314,nominal
1710000017000,S2,C1,18.5475,1.1683e-05,40.2272,180.137,-12.0385,edfa_aging
1710000017000,S3,C1,18.4097,1.56739e-05,40.2272,180.279,-11.9212,nominal
1710000018000,S1,C1,18.4924,1.31539e-05,40.0641,180.633,-12.0233,nominal
1710000018000,S2,C1,18.4971,1.3021e-05,39.9623,179.59,-12.0301,edfa_aging
1710000018000,S3,C1,18.584,1.07921e-05,40.1062,179.722,-12.0035,nominal
1710000019000,S1,C1,18.5343,1.20208e-05,39.8932,180.648,-12.0101,nominal
1710000019000,S2,C1,18.5306,1.21156e-05,40.0217,179.351,-11.9005,edfa_aging
1710000019000,S3,C1,18.4888,1.32548e-05,39.8463,179.591,-11.9705,nominal
1710000020000,S1,C1,18.4565,1.41987e-05,40.1308,179.514,-12.0349,nominal
1710000020000,S2,C1,18.5329,1.20569e-05,39.6751,180.206,-11.9774,edfa_aging
1710000020000,S3,C1,18.5669,1.12016e-05,40.1081,179.69,-11.8787,nominal
1710000021000,S1,C1,18.4243,1.51992e-05,39.9316,179.678,-11.8574,nominal
1710000021000,S2,C1,18.4828,1.34259e-05,40.3253,180.107,-11.9073,edfa_aging
1710000021000,S3,C1,18.5209,1.23733e-05,40.0337,180.241,-11.888,nominal
1710000022000,S1,C1,18.5197,1.24033e-05,40.0513,179.768,-11.9467,nominal
1710000022000,S2,C1,18.4751,1.36467e-05,40.1124,180.661,-12.0778,edfa_aging
1710000022000,S3,C1,18.5972,1.04844e-05,39.8735,179.88,-11.9536,nominal
1710000023000,S1,C1,18.4665,1.39006e-05,40.1045,179.99,-12.0593,nominal
1710000023000,S2,C1,18.4943,1.31005e-05,39.9841,179.765,-12.0538,edfa_aging
1710000023000,S3,C1,18.5769,1.09606e-05,39.9835,180.432,-12.0644,nominal
1710000024000,S1,C1,18.404,1.58619e-05,39.9531,180.074,-12.0435,nominal
1710000024000,S2,C1,18.4697,1.38047e-05,39.879,179.56,-12.0774,edfa_aging
1710000024000,S3,C1,18.5159,1.2506e-05,39.9186,180.222,-12.142,nominal
1710000025000,S1,C1,18.4593,1.41142e-05,39.8061,179.002,-11.9412,nominal
1710000025000,S2,C1,18.4703,1.37883e-05,39.9058,179.774,-11.961,edfa_aging
1710000025000,S3,C1,18.574,1.10281e-05,39.9517,180.45,-11.9287,nominal
1710000026000,S1,C1,18.4766,1.36035e-05,40.0908,180.238,-11.9571,nominal
1710000026000,S2,C1,18.4858,1.33388e-05,39.7409,179.266,-12.1152,edfa_aging
1710000026000,S3,C1,18.4525,1.43194e-05,40.0479,180.083,-12.1344,nominal
1710000027000,S1,C1,18.4403,1.46926e-05,39.8311,179.896,-12.0486,nominal
1710000027000,S2,C1,18.4636,1.39864e-05,40.0688,179.842,-11.9513,edfa_aging
1710000027000,S3,C1,18.5629,1.12978e-05,39.767,180.487,-12.023,nominal
1710000028000,S1,C1,18.4254,1.51642e-05,39.8651,179.588,-11.927,nominal
1710000028000,S2,C1,18.5383,1.19166e-05,39.8664,179.959,-11.997,edfa_aging
1710000028000,S3,C1,18.426,1.51449e-05,40.1245,180.303,-12.0104,nominal
1710000029000,S1,C1,18.5018,1.28898e-05,39.8333,180.382,-12.1137,nominal
1710000029000,S2,C1,18.4202,1.53305e-05,40.0625,179.911,-11.9539,edfa_aging
1710000029000,S3,C1,18.5172,1.24725e-05,40.2984,179.25,-12.0603,nominal
1710000030000,S1,C1,18.5449,1.17491e-05,40.1251,179.859,-12.0376,nominal
1710000030000,S2,C1,18.5412,1.18431e-05,40.0664,180.691,-11.9273,edfa_aging
1710000030000,S3,C1,18.5532,1.15378e-05,39.975,180.576,-11.9908,nominal
1710000031000,S1,C1,18.4883,1.32674e-05,39.9742,180.457,-11.8634,nominal
1710000031000,S2,C1,18.4687,1.38342e-05,40.2878,180.718,-11.9154,edfa_aging
1710000031000,S3,C1,18.5112,1.26339e-05,39.8535,180.357,-11.9263,nominal
1710000032000,S1,C1,18.4628,1.40089e-05,39.6614,180.214,-12.2066,nominal
1710000032000,S2,C1,18.4727,1.37175e-05,40.0311,179.848,-12.1796,edfa_aging
1710000032000,S3,C1,18.4816,1.34585e-05,39.9379,179.854,-11.883,nominal
1710000033000,S1,C1,18.5192,1.24166e-05,40.1089,179.869,-12.0163,nominal
1710000033000,S2,C1,18.4325,1.49394e-05,40.0435,179.761,-11.9429,edfa_aging
1710000033000,S3,C1,18.4597,1.41014e-05,40.1816,179.538,-12.0359,nominal
1710000034000,S1,C1,18.5359,1.19799e-05,40.3093,180.472,-11.9219,nominal
1710000034000,S2,C1,18.4928,1.31419e-05,40.075,180.485,-11.9031,edfa_aging
1710000034000,S3,C1,18.4829,1.34236e-05,39.9238,179.281,-12.11,nominal
1710000035000,S1,C1,18.485,1.33625e-05,40.2686,180.324,-12.0116,nominal
1710000035000,S2,C1,18.4876,1.3288e-05,39.9059,180.405,-12.0234,edfa_aging
1710000035000,S3,C1,18.5526,1.1555e-05,40.07,180.073,-12.0181,nominal
1710000036000,S1,C1,18.5272,1.2205e-05,39.9134,179.794,-12.062,nominal
1710000036000,S2,C1,18.5096,1.26776e-05,39.9628,179.493,-11.9367,edfa_aging
1710000036000,S3,C1,18.5445,1.17572e-05,40.3396,179.677,-12.087,nominal
1710000037000,S1,C1,18.5521,1.15653e-05,40.0102,179.348,-12.0706,nominal
1710000037000,S2,C1,18.4733,1.36997e-05,40.0493,179.693,-11.9403,edfa_aging
1710000037000,S3,C1,18.4869,1.33085e-05,39.8915,179.556,-12.081,nominal
1710000038000,S1,C1,18.4897,1.32303e-05,40.0749,179.778,-12.165,nominal
1710000038000,S2,C1,18.5047,1.28112e-05,40.1754,179.674,-11.9314,edfa_aging
1710000038000,S3,C1,18.4377,1.47749e-05,40.0146,179.626,-11.9812,nominal
1710000039000,S1,C1,18.4593,1.41133e-05,40.1326,180.247,-12.1052,nominal
1710000039000,S2,C1,18.591,1.06278e-05,40.1138,179.473,-12.0766,edfa_aging
1710000039000,S3,C1,18.5337,1.2036e-05,39.9145,179.369,-11.9132,nominal
1710000040000,S1,C1,18.5174,1.24666e-05,40.0038,179.902,-11.9949,nominal
1710000040000,S2,C1,18.5204,1.23846e-05,39.9616,179.757,-11.8852,edfa_aging
1710000040000,S3,C1,18.4275,1.50962e-05,39.9445,180.391,-11.9887,nominal
1710000041000,S1,C1,18.5124,1.26015e-05,39.8343,180.71,-12.0452,nominal
1710000041000,S2,C1,18.4713,1.37581e-05,40.1864,179.485,-12.0937,edfa_aging
1710000041000,S3,C1,18.4735,1.36955e-05,40.0176,179.671,-11.9799,nominal
1710000042000,S1,C1,18.5549,1.14954e-05,40.1117,180.103,-12.0011,nominal
1710000042000,S2,C1,18.5477,1.16783e-05,39.9463,180.281,-11.9462,edfa_aging
1710000042000,S3,C1,18.4633,1.39959e-05,39.8887,180.008,-11.909,nominal
1710000043000,S1,C1,18.4358,1.48352e-05,40.0908,180.077,-12.012,nominal
1710000043000,S2,C1,18.4936,1.31202e-05,39.774,180.175,-11.935,edfa_aging
1710000043000,S3,C1,18.5372,1.19463e-05,40.0678,180.079,-11.9501,nominal
1710000044000,S1,C1,18.4669,1.38874e-05,39.7989,180.161,-11.9776,nominal
1710000044000,S2,C1,18.5297,1.21404e-05,40.2402,179.305,-11.9401,edfa_aging
1710000044000,S3,C1,18.5118,1.26172e-05,40.0264,180.163,-12.0941,nominal
1710000045000,S1,C1,18.4581,1.41503e-05,39.9434,179.642,-12.1316,nominal
1710000045000,S2,C1,18.5306,1.21158e-05,40.008,179.729,-11.9503,edfa_aging
1710000045000,S3,C1,18.5231,1.23144e-05,40.1742,179.953,-12.0482,nominal
1710000046000,S1,C1,18.4133,1.55546e-05,40.0388,179.949,-12.0245,nominal
1710000046000,S2,C1,18.4804,1.34929e-05,39.9366,179.749,-11.8627,edfa_aging
1710000046000,S3,C1,18.5136,1.25678e-05,40.1026,180.344,-12.0344,nominal
1710000047000,S1,C1,18.5063,1.27663e-05,39.998,179.731,-12.027,nominal
1710000047000,S2,C1,18.4035,1.58784e-05,39.8246,180.539,-11.9254,edfa_aging
1710000047000,S3,C1,18.4661,1.39115e-05,40.0575,179.778,-11.8853,nominal
1710000048000,S1,C1,18.5264,1.22272e-05,40.077,179.051,-12.0248,nominal
1710000048000,S2,C1,18.4826,1.34306e-05,39.941,179.731,-11.9495,edfa_aging
1710000048000,S3,C1,18.5268,1.22171e-05,40.2244,180.861,-12.1085,nominal
1710000049000,S1,C1,18.4631,1.40018e-05,40.1177,179.281,-12.0705,nominal
1710000049000,S2,C1,18.5276,1.21961e-05,40.2616,180.333,-11.8864,edfa_aging
1710000049000,S3,C1,18.5706,1.11104e-05,39.9717,179.387,-12.0176,nominal
1710000050000,S1,C1,18.5693,1.11429e-05,40.0796,180.295,-12.1738,nominal
1710000050000,S2,C1,18.481,1.34772e-05,39.9994,180.63,-12.0933,edfa_aging
1710000050000,S3,C1,18.4982,1.29916e-05,40.0952,180.293,-12.2251,nominal
1710000051000,S1,C1,18.5411,1.18452e-05,39.9811,179.819,-11.9502,nominal
1710000051000,S2,C1,18.5219,1.23447e-05,40.3438,179.64,-12.0152,edfa_aging
1710000051000,S3,C1,18.5317,1.20885e-05,39.9054,180.886,-12.0456,nominal
1710000052000,S1,C1,18.5314,1.20967e-05,39.7959,179.949,-11.9356,nominal
1710000052000,S2,C1,18.549,1.16449e-05,40.0138,180.202,-12.0766,edfa_aging
1710000052000,S3,C1,18.4937,1.31161e-05,40.215,179.635,-12.0775,nominal
1710000053000,S1,C1,18.5201,1.23943e-05,40.0906,179.402,-11.8124,nominal
1710000053000,S2,C1,18.4728,1.37148e-05,40.1808,180.032,-12.085,edfa_aging
1710000053000,S3,C1,18.5514,1.15833e-05,39.8939,180.582,-12.0846,nominal
1710000054000,S1,C1,18.5478,1.16751e-05,40.2084,179.761,-11.9423,nominal
1710000054000,S2,C1,18.5616,1.13313e-05,40.0159,180.347,-11.9045,edfa_aging
1710000054000,S3,C1,18.5333,1.20455e-05,40.1479,180.828,-11.9533,nominal
1710000055000,S1,C1,18.4334,1.49096e-05,40.2946,180.314,-11.87,nominal
1710000055000,S2,C1,18.5811,1.08599e-05,39.9421,179.451,-11.9716,edfa_aging
1710000055000,S3,C1,18.5438,1.17764e-05,39.8961,179.837,-12.0741,nominal
1710000056000,S1,C1,18.5307,1.21142e-05,39.9932,180.037,-11.953,nominal
1710000056000,S2,C1,18.554,1.15201e-05,39.9468,179.849,-11.8629,edfa_aging
1710000056000,S3,C1,18.5174,1.24656e-05,40.0366,180.627,-11.8958,nominal
1710000057000,S1,C1,18.5301,1.21288e-05,39.9928,179.788,-12.0302,nominal
1710000057000,S2,C1,18.5583,1.14126e-05,39.9712,179.336,-11.9321,edfa_aging
1710000057000,S3,C1,18.582,1.08384e-05,39.8462,179.791,-11.9919,nominal
1710000058000,S1,C1,18.4116,1.56098e-05,40.2151,180.615,-11.9608,nominal
1710000058000,S2,C1,18.5548,1.14979e-05,39.8294,180.284,-12.2261,edfa_aging
1710000058000,S3,C1,18.4819,1.345e-05,39.8909,180.138,-12.0267,nominal
1710000059000,S1,C1,18.5174,1.24674e-05,40.214,179.973,-12.0925,nominal
1710000059000,S2,C1,18.6127,1.01334e-05,39.8247,179.214,-12.0175,edfa_aging
1710000059000,S3,C1,18.4833,1.34113e-05,39.8643,179.93,-12.0909,nominal
1710000060000,S1,C1,18.4875,1.32919e-05,40.0492,179.857,-11.9809,nominal
1710000060000,S2,C1,18.5093,1.26852e-05,40.0662,180.024,-12.0298,edfa_aging
1710000060000,S3,C1,18.4704,1.37847e-05,40.0715,179.631,-11.8669,nominal
1710000061000,S1,C1,18.5391,1.1897e-05,40.105,180.459,-12.0087,nominal
1710000061000,S2,C1,18.5001,1.29377e-05,40.1998,179.37,-12.0465,edfa_aging
1710000061000,S3,C1,18.5305,1.21181e-05,40.0852,179.583,-11.9946,nominal
1710000062000,S1,C1,18.478,1.35622e-05,39.8838,179.298,-12.0837,nominal
1710000062000,S2,C1,18.5302,1.21284e-05,40.0361,179.7,-11.8589,edfa_aging
1710000062000,S3,C1,18.4689,1.38296e-05,40.1199,179.789,-11.8605,nominal
1710000063000,S1,C1,18.4991,1.29659e-05,40.0856,180.22,-11.9033,nominal
1710000063000,S2,C1,18.4546,1.42559e-05,40.02,179.669,-12.0394,edfa_aging
1710000063000,S3,C1,18.4678,1.38622e-05,40.0674,179.422,-11.8042,nominal
1710000064000,S1,C1,18.5171,1.2473e-05,39.8741,179.548,-11.9115,nominal
1710000064000,S2,C1,18.4223,1.52614e-05,39.8753,180.025,-11.9095,edfa_aging
1710000064000,S3,C1,18.5364,1.19667e-05,39.9778,180.089,-12.0006,nominal
1710000065000,S1,C1,18.4562,1.42076e-05,39.9762,179.68,-11.9635,nominal
1710000065000,S2,C1,18.4559,1.42163e-05,40.1836,180.215,-12.0039,edfa_aging
1710000065000,S3,C1,18.5581,1.14168e-05,40.1086,180.07,-11.9408,nominal
1710000066000,S1,C1,18.5299,1.21343e-05,39.9795,179.722,-11.9354,nominal
1710000066000,S2,C1,18.5186,1.24333e-05,40.1714,180.456,-12.0063,edfa_aging
1710000066000,S3,C1,18.5287,1.2166e-05,40.2416,180.457,-11.8896,nominal
1710000067000,S1,C1,18.4948,1.30868e-05,39.9276,180.05,-11.8696,nominal
1710000067000,S2,C1,18.5237,1.22995e-05,39.8383,180.547,-12.0453,edfa_aging
1710000067000,S3,C1,18.3658,1.71772e-05,39.9544,180.183,-11.9974,nominal
1710000068000,S1,C1,18.5246,1.22738e-05,39.6811,180.041,-12.0105,nominal
1710000068000,S2,C1,18.4232,1.52344e-05,40.024,180.014,-11.8587,edfa_aging
1710000068000,S3,C1,18.4523,1.43247e-05,39.8999,179.953,-12.1303,nominal
1710000069000,S1,C1,18.4739,1.36823e-05,39.874,180.12,-12.1071,nominal
1710000069000,S2,C1,18.4058,1.58006e-05,39.9632,179.562,-11.9989,edfa_aging
1710000069000,S3,C1,18.4463,1.45077e-05,40.0957,179.891,-11.9174,nominal
1710000070000,S1,C1,18.5543,1.15111e-05,40.0479,180.082,-12.0754,nominal
1710000070000,S2,C1,18.4842,1.33855e-05,39.7883,180.493,-12.0793,edfa_aging
1710000070000,S3,C1,18.4396,1.47149e-05,40.3166,181,-12.0425,nominal
1710000071000,S1,C1,18.5303,1.21256e-05,39.9888,180.563,-11.9447,nominal
1710000071000,S2,C1,18.4906,1.32036e-05,40.2562,179.507,-11.9846,edfa_aging
1710000071000,S3,C1,18.4796,1.3517e-05,40.0004,179.402,-12.0929,nominal
1710000072000,S1,C1,18.4911,1.31894e-05,39.9388,180.679,-11.9817,nominal
1710000072000,S2,C1,18.4975,1.30089e-05,40.1922,180.005,-12.1124,edfa_aging
1710000072000,S3,C1,18.5909,1.06303e-05,39.9645,179.489,-12.0486,nominal
1710000073000,S1,C1,18.5316,1.20907e-05,40.0622,180.284,-12.1176,nominal
1710000073000,S2,C1,18.5336,1.20394e-05,40.062,179.727,-11.891,edfa_aging
1710000073000,S3,C1,18.4846,1.3373e-05,39.8633,180.913,-11.8859,nominal
1710000074000,S1,C1,18.563,1.12964e-05,40.1012,180.303,-11.8951,nominal
1710000074000,S2,C1,18.5614,1.13344e-05,40.2272,179.757,-12.0937,edfa_aging
1710000074000,S3,C1,18.4632,1.39968e-05,39.906,180.448,-12.0798,nominal
1710000075000,S1,C1,18.5896,1.0661e-05,40.125,179.846,-11.9828,nominal
1710000075000,S2,C1,18.5115,1.2624e-05,39.9374,180.081,-12.0518,edfa_aging
1710000075000,S3,C1,18.5349,1.20038e-05,39.8738,180.094,-12.0456,nominal
1710000076000,S1,C1,18.4213,1.52943e-05,39.8767,179.555,-11.8719,nominal
1710000076000,S2,C1,18.5306,1.21158e-05,40.056,179.551,-11.98,edfa_aging
1710000076000,S3,C1,18.5035,1.2845e-05,39.8703,180.236,-12.0867,nominal
1710000077000,S1,C1,18.5442,1.17671e-05,40.0009,180.236,-11.9102,nominal
1710000077000,S2,C1,18.4452,1.45411e-05,40.2177,179.966,-12.0794,edfa_aging
1710000077000,S3,C1,18.506,1.27742e-05,40.1718,180.419,-11.9011,nominal
1710000078000,S1,C1,18.5233,1.23101e-05,39.9475,180.012,-12.0341,nominal
1710000078000,S2,C1,18.4412,1.46664e-05,39.97,179.968,-11.8801,edfa_aging
1710000078000,S3,C1,18.4657,1.39244e-05,40.204,179.437,-11.9411,nominal
1710000079000,S1,C1,18.4953,1.30712e-05,39.8659,180.344,-11.992,nominal
1710000079000,S2,C1,18.5118,1.26168e-05,40.0601,180.426,-12.0002,edfa_aging
1710000079000,S3,C1,18.4999,1.29426e-05,40.0301,179.898,-11.8656,nominal
1710000080000,S1,C1,18.4497,1.44054e-05,39.7731,179.262,-12.0577,nominal
1710000080000,S2,C1,18.5332,1.20481e-05,39.8683,180.457,-11.9887,edfa_aging
1710000080000,S3,C1,18.5217,1.23506e-05,40.031,180.309,-11.918,nominal
1710000081000,S1,C1,18.5629,1.12995e-05,39.9828,181.078,-12.0661,nominal
1710000081000,S2,C1,18.5363,1.19683e-05,40.112,180.318,-11.9914,edfa_aging
1710000081000,S3,C1,18.4044,1.58468e-05,40.1383,180.289,-11.9534,nominal
1710000082000,S1,C1,18.4369,1.47995e-05,39.8666,179.486,-12.023,nominal
1710000082000,S2,C1,18.5296,1.21419e-05,40.1886,180.03,-11.9984,edfa_aging
1710000082000,S3,C1,18.4195,1.53534e-05,40.0196,180.468,-11.8751,nominal
1710000083000,S1,C1,18.5283,1.21757e-05,40.3205,180.012,-11.9597,nominal
1710000083000,S2,C1,18.5392,1.18936e-05,39.8662,180.698,-11.9877,edfa_aging
1710000083000,S3,C1,18.5542,1.15132e-05,40.0335,180.123,-11.908,nominal
1710000084000,S1,C1,18.5651,1.12448e-05,39.9827,180.398,-11.8908,nominal
1710000084000,S2,C1,18.5405,1.18607e-05,39.894,180.401,-11.8396,edfa_aging
1710000084000,S3,C1,18.5422,1.18182e-05,40.1066,179.885,-11.9706,nominal
1710000085000,S1,C1,18.42,1.53363e-05,39.9638,179.441,-12.0699,nominal
1710000085000,S2,C1,18.4124,1.55843e-05,40.0019,179.506,-12.0153,edfa_aging
1710000085000,S3,C1,18.4747,1.36602e-05,40.0118,179.787,-11.9332,nominal
1710000086000,S1,C1,18.4849,1.3366e-05,39.9379,179.775,-11.9435,nominal
1710000086000,S2,C1,18.4633,1.39949e-05,40.2229,180.133,-12.0771,edfa_aging
1710000086000,S3,C1,18.449,1.44261e-05,40.2099,180.276,-11.8324,nominal
1710000087000,S1,C1,18.4345,1.48739e-05,40.2788,179.184,-11.996,nominal
1710000087000,S2,C1,18.5228,1.23232e-05,39.9347,180.197,-11.8954,edfa_aging
1710000087000,S3,C1,18.4907,1.32001e-05,40.5015,180.023,-11.9365,nominal
1710000088000,S1,C1,18.5122,1.26062e-05,39.8562,179.422,-12.0164,nominal
1710000088000,S2,C1,18.5298,1.21368e-05,39.8855,179.677,-11.9186,edfa_aging
1710000088000,S3,C1,18.4403,1.46933e-05,40.0187,180.22,-12.1284,nominal
1710000089000,S1,C1,18.5757,1.09878e-05,39.9733,179.218,-11.9093,nominal
1710000089000,S2,C1,18.4244,1.51955e-05,39.9945,180.111,-12.0316,edfa_aging
1710000089000,S3,C1,18.483,1.34198e-05,40.0608,180.591,-12.1658,nominal
1710000090000,S1,C1,18.6012,1.03934e-05,39.882,180.041,-12.0269,nominal
1710000090000,S2,C1,18.5587,1.14032e-05,40.1818,179.883,-12.0323,edfa_aging
1710000090000,S3,C1,18.5826,1.08253e-05,39.8956,180.526,-12.0705,nominal
1710000091000,S1,C1,18.4111,1.56268e-05,39.9788,180.117,-11.8893,nominal
1710000091000,S2,C1,18.4781,1.35618e-05,39.7795,179.653,-11.8933,edfa_aging
1710000091000,S3,C1,18.5066,1.27586e-05,39.9524,179.531,-11.9064,nominal
1710000092000,S1,C1,18.4713,1.37599e-05,39.9921,179.871,-12.0249,nominal
1710000092000,S2,C1,18.4884,1.32664e-05,39.9838,180.036,-11.9841,edfa_aging
1710000092000,S3,C1,18.5583,1.14116e-05,40.0326,180.498,-11.9532,nominal
1710000093000,S1,C1,18.5352,1.19976e-05,40.1623,180.508,-12.0716,nominal
1710000093000,S2,C1,18.5137,1.25659e-05,40.2062,179.762,-12.0014,edfa_aging
1710000093000,S3,C1,18.4889,1.32525e-05,40.0822,179.649,-11.9313,nominal
1710000094000,S1,C1,18.579,1.09103e-05,39.7851,180.559,-11.9374,nominal
1710000094000,S2,C1,18.5375,1.19381e-05,40.0039,179.522,-12.0082,edfa_aging
1710000094000,S3,C1,18.5185,1.24375e-05,39.9915,179.382,-12.0017,nominal
1710000095000,S1,C1,18.5211,1.23683e-05,39.9944,179.996,-12.1139,nominal
1710000095000,S2,C1,18.4283,1.50696e-05,39.9657,180.019,-12.049,edfa_aging
1710000095000,S3,C1,18.5693,1.11426e-05,39.8418,180.88,-12.0079,nominal
1710000096000,S1,C1,18.4627,1.40127e-05,40.24,179.91,-12.0923,nominal
1710000096000,S2,C1,18.5495,1.16318e-05,40.1366,179.27,-11.9476,edfa_aging
1710000096000,S3,C1,18.4332,1.49159e-05,40.0775,180.152,-12.0369,nominal
1710000097000,S1,C1,18.5149,1.25345e-05,39.921,179.889,-12.0129,nominal
1710000097000,S2,C1,18.5039,1.28338e-05,39.8257,180.466,-12.1075,edfa_aging
1710000097000,S3,C1,18.4826,1.34303e-05,39.9406,179.801,-12.0099,nominal
1710000098000,S1,C1,18.4992,1.29636e-05,39.9709,179.817,-11.9978,nominal
1710000098000,S2,C1,18.4615,1.40495e-05,40.3165,179.873,-12.0913,edfa_aging
1710000098000,S3,C1,18.4922,1.31597e-05,40.0805,179.874,-12.006,nominal
1710000099000,S1,C1,18.4898,1.32258e-05,39.8644,180.526,-12.0193,nominal
1710000099000,S2,C1,18.4862,1.33272e-05,40.0792,180.047,-12.1436,edfa_aging
1710000099000,S3,C1,18.5141,1.25549e-05,39.9871,180.403,-12.0132,nominal
1710000100000,S1,C1,18.4633,1.39954e-05,39.6047,180.095,-12.1547,nominal
1710000100000,S2,C1,18.3907,1.63091e-05,39.949,180.397,-12.0478,edfa_aging
1710000100000,S3,C1,18.5777,1.09409e-05,40.0008,180.844,-12.0933,nominal
1710000101000,S1,C1,18.5194,1.24136e-05,39.9818,179.866,-12.104,nominal
1710000101000,S2,C1,18.4676,1.38667e-05,40.0186,180.388,-12.0901,edfa_aging
1710000101000,S3,C1,18.5343,1.2021e-05,40.0084,180.569,-12.1156,nominal
1710000102000,S1,C1,18.5154,1.252e-05,40.1738,179.908,-11.9571,nominal
1710000102000,S2,C1,18.5091,1.26906e-05,39.9957,179.893,-11.9783,edfa_aging
1710000102000,S3,C1,18.4251,1.51725e-05,39.7037,179.956,-11.8977,nominal
1710000103000,S1,C1,18.4954,1.307e-05,39.9273,180.22,-11.9549,nominal
